"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Weather API","Forecast endpoint","Temperature range validation","0","0","5","0","0"
"Weather API","Forecast endpoint","Timezone field present","0","0","5","0","0"
"Weather API","Forecast endpoint","Full schema validation","0","0","5","0","0"
"Countries API","Name search endpoint","Schema validation","0","0","1","0","0"
"Countries API","Region endpoint","Result count","0","0","1","0","0"
"Weather API","Forecast endpoint","HTTP 200 and response time","0","0","5","0","0"
"Countries API","Region endpoint","Response time gate","0","0","1","0","0"
"Weather API","Forecast endpoint","Hourly entry count","0","0","5","0","0"
"Countries API","All countries endpoint","Population data completeness","0","0","1","0","0"
"Countries API","Cross-reference validation","Name-to-Region cross-reference","0","0","1","0","0"
"Countries API","All countries endpoint","Response time gate","0","0","1","0","0"
"Countries API","Name search endpoint","Data integrity","0","0","1","0","0"
